Acaryochloris marina;Acaryochloris_marina_strain_MBIC_11017.fasta;Cyanobacteria;8172;AMAR_MBI_CB_UP_01_;Uniprot
Anabaena cylindrica;Anabaena_cylindrica_strain_ATCC_27899__PCC_7122.fasta;Cyanobacteria;5797;ACYL_ATC_CB_UP_01_;Uniprot
Anabaena sp. 90;Anabaena_sp__90.fasta;Cyanobacteria;4476;ANAB_S90_CB_UP_01_;Uniprot
Anabaena variabilis;Anabaena_variabilis_strain_ATCC_29413__PCC_7937.fasta;Cyanobacteria;5634;AVAR_ATC_CB_UP_01_;Uniprot
Arthrospira platensis;Arthrospira_platensis_strain_NIES-39__IAM_M-135_Spirulina_platensis.fasta;Cyanobacteria;6009;APLA_NIE_CB_UP_01_;Uniprot
Aureococcus anophagefferens;Aureococcus_anophagefferens.fasta;Viridiplantae;11382;AANO_XXX_VD_PP_01_;PicoPlaza
Bathycoccus prasinos;Bathycoccus_prasinos.fasta;Viridiplantae;7884;BPRA_XXX_VD_PP_01_;PicoPlaza
Calothrix sp. PCC 7507;Calothrix_sp__PCC_7507.fasta;Cyanobacteria;5924;CALO_P75_CB_UP_01_;Uniprot
Carica papaya;Carica_papaya.fasta;Viridiplantae;26954;CPAP_XXX_VD_PL_01_;Plaza
Chamaesiphon minutus PCC 6605;Chamaesiphon_minutus_PCC_6605.fasta;Cyanobacteria;5815;CMIN_P66_CB_UP_01_;Uniprot
Chlorella sp NC64A;Chlorella_sp_NC64A.fasta;Viridiplantae;9791;CHLO_NC6_VD_PP_01_;PicoPlaza
Chroococcidiopsis thermalis PCC 7203;Chroococcidiopsis_thermalis_PCC_7203.fasta;Cyanobacteria;5740;CTHE_P72_CB_UP_01_;Uniprot
Coccomyxa sp. C169;Coccomyxa_sp__C169.fasta;Viridiplantae;9994;COCC_C16_VD_PP_01_;PicoPlaza
Crinalium epipsammum PCC 9333;Crinalium_epipsammum_PCC_9333.fasta;Cyanobacteria;4697;CEPI_P93_CB_UP_01_;Uniprot
Cyanidioschyzon merolae;Cyanidioschyzon_merolae.fasta;Viridiplantae;4988;CMER_XXX_VD_PP_01_;PicoPlaza
Cyanobacterium aponinum;Cyanobacterium_aponinum_strain_PCC_10605.fasta;Cyanobacteria;3415;CAPO_P10_CB_UP_01_;Uniprot
Cyanobacterium stanieri;Cyanobacterium_stanieri_strain_ATCC_29140__PCC_7202.fasta;Cyanobacteria;2831;CSTA_A29_CB_UP_01_;Uniprot
Cyanobium gracile;Cyanobium_gracile_strain_ATCC_27147__PCC_6307.fasta;Cyanobacteria;3261;CGRA_A27_CB_UP_01_;Uniprot
Cyanothece sp.;Cyanothece_sp__strain_PCC_7822.fasta;Cyanobacteria;6559;CYAN_P78_CB_UP_01_;Uniprot
Cylindrospermum stagnale PCC 7417;Cylindrospermum_stagnale_PCC_7417.fasta;Cyanobacteria;6200;CSTA_P74_CB_UP_01_;Uniprot
Dactylococcopsis salina PCC 8305;Dactylococcopsis_salina_PCC_8305.fasta;Cyanobacteria;3305;DSAL_P83_CB_UP_01_;Uniprot
Fragilariopsis cylindrus;Fragilariopsis_cylindrus.fasta;Viridiplantae;17942;FCYL_XXX_VD_PP_01_;PicoPlaza
Geitlerinema sp. PCC 7407;Geitlerinema_sp__PCC_7407.fasta;Cyanobacteria;3813;GEIT_P74_CB_UP_01_;Uniprot
Gloeobacter kilaueensis JS1;Gloeobacter_kilaueensis_JS1.fasta;Cyanobacteria;4462;GKIL_JS1_CB_UP_01_;Uniprot
Gloeobacter violaceus;Gloeobacter_violaceus_strain_PCC_7421.fasta;Cyanobacteria;4406;GVIO_P74_CB_UP_01_;Uniprot
Gloeocapsa sp. PCC 7428;Gloeocapsa_sp__PCC_7428.fasta;Cyanobacteria;5003;GLEO_P74_CB_UP_01_;Uniprot
Halothece sp.;Halothece_sp__strain_PCC_7418_Synechococcus_sp__strain_PCC_7418.fasta;Cyanobacteria;3701;HALO_P74_CB_UP_01_;Uniprot
Leptolyngbya sp. PCC 7376;Leptolyngbya_sp__PCC_7376.fasta;Cyanobacteria;4153;LEPT_P73_CB_UP_01_;Uniprot
Lotus japonicus;Lotus_japonicus.fasta;Viridiplantae;15030;LJAP_XXX_VD_PL_01_;Plaza
Microcoleus sp. PCC 7113;Microcoleus_sp__PCC_7113.fasta;Cyanobacteria;6397;MICR_P71_CB_UP_01_;Uniprot
Microcystis aeruginosa;Microcystis_aeruginosa_strain_NIES-843.fasta;Cyanobacteria;5981;MAER_NIE_CB_UP_01_;Uniprot
Micromonas pusilla strain CCMP1545;Micromonas_pusilla_strain_CCMP1545.fasta;Viridiplantae;10550;MPUS_CCM_VD_PP_01_;PicoPlaza
Micromonas sp.;Micromonas_sp__strain_RCC299__NOUM17_Picoplanktonic_green_alga.fasta;Viridiplantae;10115;MICR_RCC_VD_UP_01_;Uniprot
Nodularia spumigena CCY9414;Nodularia_spumigena_CCY9414.fasta;Cyanobacteria;5211;NSPU_CCY_CB_UP_01_;Uniprot
Nostoc azollae;Nostoc_azollae_strain_0708_Anabaena_azollae_strain_0708.fasta;Cyanobacteria;3646;NAZO_S07_CB_UP_01_;Uniprot
Nostoc punctiforme;Nostoc_punctiforme_strain_ATCC_29133__PCC_73102.fasta;Cyanobacteria;6573;NPUN_ATC_CB_UP_01_;Uniprot
Nostoc sp.;Nostoc_sp__strain_PCC_7120__UTEX_2576.fasta;Cyanobacteria;6070;NOST_P72_CB_UP_01_;Uniprot
Oscillatoria acuminata PCC 6304;Oscillatoria_acuminata_PCC_6304.fasta;Cyanobacteria;5755;OACU_PCC_CB_UP_01_;Uniprot
Oscillatoriales cyanobacterium JSC-12;Oscillatoriales_cyanobacterium_JSC-12.fasta;Cyanobacteria;4673;OCYA_JSC_CB_UP_01_;Uniprot
Oscillatoria nigro-viridis PCC 7112;Oscillatoria_nigro-viridis_PCC_7112.fasta;Cyanobacteria;6276;ONIG_PCC_CB_UP_01_;Uniprot
Ostreococcus lucimarinus;Ostreococcus_lucimarinus.fasta;Viridiplantae;7769;OLUC_XXX_VD_PL_01_;Plaza
Ostreococcus sp RCC809;Ostreococcus_sp_RCC809.fasta;Viridiplantae;7492;OSTE_RCC_VD_PP_01_;PicoPlaza
Ostreococcus tauri;Ostreococcus_tauri.fasta;Viridiplantae;7970;OTAU_XXX_VD_UP_01_;Uniprot
Phaeodactylum tricornutum;Phaeodactylum_tricornutum.fasta;Viridiplantae;10135;PTRI_XXX_VD_PP_01_;PicoPlaza
Pleurocapsa sp. PCC 7327;Pleurocapsa_sp__PCC_7327.fasta;Cyanobacteria;4255;PLEU_PCC_CB_UP_01_;Uniprot
Prochlorococcus marinus;Prochlorococcus_marinus_strain_MIT_9303.fasta;Cyanobacteria;2985;PMAR_M33_CB_UP_01_;Uniprot
Pseudanabaena sp. PCC 7367;Pseudanabaena_sp__PCC_7367.fasta;Cyanobacteria;3824;PSEU_PCC_CB_UP_01_;Uniprot
Rivularia sp. PCC 7116;Rivularia_sp__PCC_7116.fasta;Cyanobacteria;6617;RIVU_PCC_CB_UP_01_;Uniprot
Stanieria cyanosphaera;Stanieria_cyanosphaera_strain_ATCC_29371__PCC_7437.fasta;Cyanobacteria;4751;SCYA_ATC_CB_UP_01_;Uniprot
Synechococcus elongatus;Synechococcus_elongatus_strain_PCC_7942_Anacystis_nidulans_R2.fasta;Cyanobacteria;2657;SELO_PCC_CB_UP_01_;Uniprot
Synechococcus sp.;Synechococcus_sp__strain_ATCC_27167__PCC_6312.fasta;Cyanobacteria;3541;SYNE_A67_CB_UP_01_;Uniprot
Thalassiosira pseudonana;Thalassiosira_pseudonana.fasta;Viridiplantae;10894;TPSE_XXX_VD_PP_01_;PicoPlaza
Thermosynechococcus elongatus;Thermosynechococcus_elongatus_strain_BP-1.fasta;Cyanobacteria;2451;TELO_BP1_CB_UP_01_;Uniprot
Trichodesmium erythraeum;Trichodesmium_erythraeum_strain_IMS101.fasta;Cyanobacteria;4342;TERY_IMS_CB_UP_01_;Uniprot
