Ricinus communis;Ricinus_communis_Castor_bean.fasta;Viridiplantae;31219;RCOM_XXX_VD_UP_01_;Uniprot
Ectocarpus siliculosus;Ectocarpus_siliculosus.fasta;Viridiplantae;16448;ESIL_XXX_VD_PP_01_;PicoPlaza
Oscillatoria acuminata PCC 6304;Oscillatoria_acuminata_PCC_6304.fasta;Cyanobacteria;5755;OACU_PCC_CB_UP_01_;Uniprot
Oscillatoriales cyanobacterium JSC-12;Oscillatoriales_cyanobacterium_JSC-12.fasta;Cyanobacteria;4673;OCYA_JSC_CB_UP_01_;Uniprot
Trichodesmium erythraeum;Trichodesmium_erythraeum_strain_IMS101.fasta;Cyanobacteria;4342;TERY_IMS_CB_UP_01_;Uniprot
Thermosynechococcus elongatus;Thermosynechococcus_elongatus_strain_BP-1.fasta;Cyanobacteria;2451;TELO_BP1_CB_UP_01_;Uniprot
Cucumis melo;Cucumis_melo.fasta;Viridiplantae;26746;CMEL_XXX_VD_PL_01_;Plaza
Prochlorococcus marinus;Prochlorococcus_marinus_strain_MIT_9303.fasta;Cyanobacteria;2985;PMAR_M33_CB_UP_01_;Uniprot
Cylindrospermum stagnale PCC 7417;Cylindrospermum_stagnale_PCC_7417.fasta;Cyanobacteria;6200;CSTA_P74_CB_UP_01_;Uniprot
Calothrix sp. PCC 7507;Calothrix_sp__PCC_7507.fasta;Cyanobacteria;5924;CALO_P75_CB_UP_01_;Uniprot
Nostoc azollae;Nostoc_azollae_strain_0708_Anabaena_azollae_strain_0708.fasta;Cyanobacteria;3646;NAZO_S07_CB_UP_01_;Uniprot
Pseudanabaena sp. PCC 7367;Pseudanabaena_sp__PCC_7367.fasta;Cyanobacteria;3824;PSEU_PCC_CB_UP_01_;Uniprot
Bathycoccus prasinos;Bathycoccus_prasinos.fasta;Viridiplantae;7884;BPRA_XXX_VD_PP_01_;PicoPlaza
Beta vulgaris;Beta_vulgaris.fasta;Viridiplantae;24446;BVUL_XXX_VD_PL_01_;Plaza
Physcomitrella patens subsp. Patens;Physcomitrella_patens_subsp__patens_Moss.fasta;Viridiplantae;34837;PPAT_XXX_VD_UP_01_;Uniprot
Chamaesiphon minutus PCC 6605;Chamaesiphon_minutus_PCC_6605.fasta;Cyanobacteria;5815;CMIN_P66_CB_UP_01_;Uniprot
Ostreococcus tauri;Ostreococcus_tauri.fasta;Viridiplantae;7970;OTAU_XXX_VD_UP_01_;Uniprot
Cyanobium gracile;Cyanobium_gracile_strain_ATCC_27147__PCC_6307.fasta;Cyanobacteria;3261;CGRA_A27_CB_UP_01_;Uniprot
Solanum lycopersicum;Solanum_lycopersicum_Tomato_Lycopersicon_esculentum.fasta;Viridiplantae;34824;SLYC_XXX_VD_UP_01_;Uniprot
Carica papaya;Carica_papaya.fasta;Viridiplantae;26954;CPAP_XXX_VD_PL_01_;Plaza
Vitis vinifera;Vitis_vinifera_Grape.fasta;Viridiplantae;29838;VVIN_XXX_VD_UP_01_;Uniprot
Thellungiella parvula;Thellungiella_parvula.fasta;Viridiplantae;25562;TPAR_XXX_VD_PL_01_;Plaza
Chlorella sp NC64A;Chlorella_sp_NC64A.fasta;Viridiplantae;9791;CHLO_NC6_VD_PP_01_;PicoPlaza
Oryza glaberrima;Oryza_glaberrima_African_rice.fasta;Viridiplantae;31807;OGLA_XXX_VD_UP_01_;Uniprot
Stanieria cyanosphaera;Stanieria_cyanosphaera_strain_ATCC_29371__PCC_7437.fasta;Cyanobacteria;4751;SCYA_ATC_CB_UP_01_;Uniprot
Pleurocapsa sp. PCC 7327;Pleurocapsa_sp__PCC_7327.fasta;Cyanobacteria;4255;PLEU_PCC_CB_UP_01_;Uniprot
Citrullus lanatus;Citrullus_lanatus.fasta;Viridiplantae;23438;CLAN_XXX_VD_PL_01_;Plaza
Arthrospira platensis;Arthrospira_platensis_strain_NIES-39__IAM_M-135_Spirulina_platensis.fasta;Cyanobacteria;6009;APLA_NIE_CB_UP_01_;Uniprot
Microcystis aeruginosa;Microcystis_aeruginosa_strain_NIES-843.fasta;Cyanobacteria;5981;MAER_NIE_CB_UP_01_;Uniprot
Halothece sp.;Halothece_sp__strain_PCC_7418_Synechococcus_sp__strain_PCC_7418.fasta;Cyanobacteria;3701;HALO_P74_CB_UP_01_;Uniprot
Lotus japonicus;Lotus_japonicus.fasta;Viridiplantae;15030;LJAP_XXX_VD_PL_01_;Plaza
Synechococcus elongatus;Synechococcus_elongatus_strain_PCC_7942_Anacystis_nidulans_R2.fasta;Cyanobacteria;2657;SELO_PCC_CB_UP_01_;Uniprot
Synechococcus sp.;Synechococcus_sp__strain_ATCC_27167__PCC_6312.fasta;Cyanobacteria;3541;SYNE_A67_CB_UP_01_;Uniprot
